company_code,year,dividend_amount_paid
SIIS,2023,3
QNBK,2015,3.5
QNBK,2016,3.5
QNBK,2011,4
QNBK,2009,4
QNCD,2015,4
QNCD,2014,4
QNCD,2016,4
QNBK,2010,5
QFBQ,2010,5
QNNS,2015,5
QNBK,2017,6
QNBK,2012,6
QNBK,2018,6
QNCD,2013,6
QNCD,2012,6
QNBK,2013,7
QNBK,2014,7.5
QNBK,2008,7.5QNBK,2020,0.45
QNBK,2021,0.55
QNBK,2023,0.65
QNBK,2022,0.6
QNBK,2019,0.6
QNBK,2024,0.37
QFBQ,2015,160000.0
QFBQ,2014,38.9
QFBQ,2016,0.0
QFBQ,2017,25.5
QFBQ,2013,30.2
QFBQ,2012,25.89
QFBQ,2011,21574.0
QFBQ,2020,0.0
QFBQ,2021,12.624
